Read	ReadCov:RAW	ReadCov:PHMM
000020c1-a913-404b-b1f1-ed8b56060e18	80.932	98.419
0006fbcf-0f42-49e8-9496-e00d629ad88a	82.011	100
000a22e7-bb78-4dd5-87a4-f456e4192840	81.856	99.374
000b27e8-b4fe-43db-85a7-ff65c6f685ee	73.788	98.577
001113e2-e3d4-4830-85be-e6c9b3de56de	76.865	99.209
0012db5c-b61b-4adc-a225-f22c03a85987	73.856	99.341
001b518c-9165-40a8-bc58-90075180c3e5	57.107	98.655
001bd670-2926-4911-9ed9-3be77a0f2353	72.977	98.755
001cb65f-2b85-43eb-a597-de966e08aa6a	85.947	99.372
001e7f0c-0489-4d25-8b62-bbe2514ca07f	81.943	98.595
0025b131-1639-46f6-8d07-9e34f0225383	75.813	99.628
002ee5f1-c402-402d-8b14-b9120032df11	77.628	99.654
002f2415-a5f7-4111-8cad-efa59ae179e4	80.595	100
0030f478-8eb6-4a80-a020-297e5f320a2c	74.605	98.672
0034101f-bf45-4df6-a718-2a40b3468dc3	71.429	97.192
0035853c-b9cc-4a22-886d-211ee15a6154	75.469	99.053
003950f7-44d5-4954-b098-f66a025dbc17	78.755	100
0039bb12-3678-4ba9-b8e7-d45795c7032f	82.686	99.621
003a2fb8-6cd7-4acf-937d-3492ea4d05a5	77.748	99.485
003b60e9-a3e0-41d8-ab16-ef23e968c274	82.911	98.992
003c5ff5-386d-4d03-99bb-878a2ce79f0c	73.962	99.138
003c76ff-7425-4baf-9822-35529d892655	68.955	92.083
0040204a-796b-42d1-bf8e-d27ae99baad4	76.985	98.443
004336db-1161-4b0b-bf25-91021483b5fd	83.512	99.363
0044f1cb-afca-4f8d-8b08-acdbc5648a93	74.455	99.165
0046a543-267d-4020-a3c7-06d3047267b5	77.463	99.826
004a7995-313e-45b1-9244-896022796721	72.377	98.323
004bb025-68d0-4885-84c9-4477303a3900	84.973	99.467
004bc675-b658-4fe8-b9af-d9a8f4559bda	72.089	98.048
004d5fd3-285f-45c0-b624-0263e195cea2	81.474	98.851
004ff31f-0aa1-400d-945c-0ebd3b8a8cd1	77.503	99.647
0054f497-9e76-4a6c-a915-8beb05f72bfc	74.804	96.599
00558a99-3f47-4891-b3af-cb90eb6f8342	75.507	99.427
0057e922-3b91-441f-8a8c-fbee31699171	80.540	97.817
005b3e53-30e6-48e2-b1b7-dae0dde96618	77.170	98.467
006272b3-45db-4f8a-b7da-0e2bfeee5525	75.857	99.591
006318eb-da82-4a6f-9564-f26341a4da95	75.242	99.451
0063ac07-6d7c-4fec-a6b4-fb3374f9d5c2	75.321	97.238
006a0bca-3e8d-4101-9430-48ecfb6f0365	74.129	98.026
006ded58-0523-459e-b2d1-8c25d456c53b	76.073	98.294
006ebf9e-f816-45e2-8b31-5caee9974ff5	74.919	99.355
00746843-d015-4d0d-bc08-b1ef1184dc83	82.316	100
0086dc06-7ee8-4910-9e21-025fd728472c	81.655	99.314
008959d0-7842-42e4-a1ce-a64927fbf746	68.085	95.413
00898702-d071-42d9-a7f5-1e78deb74dea	78.935	98.938
0089d3f1-6e65-4297-b89d-e61d98c9d27d	78.102	97.273
008e7c9c-1723-4195-9dcd-0f65fff8268f	78.026	98.661
009055a0-d6f0-418c-afd3-5712f9738ddd	73.398	93.939
0097c05b-3b7d-4e80-b86c-4bb683849ab9	76.463	93.220
0098988e-7c9c-4f5b-a149-243954bf04b5	83.153	98.700
009d1734-e612-4672-9ad9-551499f1629b	74.492	99.323
009d75b9-9a0c-4a01-a2fd-373772184618	79.537	99.090
00a28aaf-f263-48fe-b445-513d8443a413	77.419	99.481
00a62e3e-876b-4023-9491-ab3eee7ba1a8	84.454	98.893
00a85af4-5ed7-4ca5-9bbc-bb13890423a2	73.538	98.152
00a94348-4285-49da-aa14-5372510608e5	75.464	99.435
00aeed2e-279e-4a6b-b4de-7522aa4bbdb0	81.412	99.114
00afccb5-83e6-4ced-8127-16d390b5a48a	73.676	99.136
00b0875c-d5f8-4d14-8031-170927f4dc6a	79.505	100
00b205b0-8f3f-4cbb-8ae2-479ffb304041	75.824	99.102
00b2cebb-c7c0-485e-9d9b-fa7b62b61e6a	68.488	97.911
00b63990-a4a9-4d7c-aea6-591aada1930d	76.398	98.592
00bb16f2-4792-4958-adca-02801678a998	75.115	99.797
00c25d4b-416a-44c1-b3a8-2c5dd1a7dd47	75.645	99.433
00c4dde5-0b37-4a9c-bcb4-b7918e94423b	78.961	99.330
00c5f350-fd66-4f55-8434-22b180c75bf3	76.252	99.255
00c5fae6-e5cb-46da-9834-1be1b47475e3	81.828	99.474
00cfccb1-b515-487c-bcbc-9d0bba1ad006	73.676	97.782
00d4ad63-4e1a-4cd6-9526-3da7e6714a7f	82.253	99.612
00d6e7f8-3e42-4001-85f0-90ae06479270	73.469	98.936
00d84900-daed-4bd8-bcc5-7c03e8b7ac96	75.862	97.865
00d978fa-61d2-4597-af4a-c1ef422c0f70	68.831	94.432
00de9cfd-737c-4067-bec2-ff9771a30970	75.179	98.868
00e1182f-297f-48e0-ba1e-9b463eab12b4	73.692	99.375
00e544e2-93e4-4cc9-8233-7963dde6609b	72.632	98.773
00e82464-1dc5-402d-89bb-90365b8df1ed	60.938	96.809
00ea960e-fa89-482a-8ff8-60e9a1f2c367	67.908	97.194
00ed1be5-e5be-4fec-b67d-98ab5f31371f	83.369	99.113
00ee66da-eddb-459d-ad30-694da2d6e200	74.043	98.886
00f0d547-0e7e-401e-a69b-fbd0958975e7	73.602	96.538
00f889be-86ed-4302-885b-b1dd999905b5	72.214	98.539
00f8ff8a-18c9-469e-91f7-1112e2692f6a	78.016	99.317
00f9787c-30d1-45f7-b22c-d5de199f608a	78.289	99.191
00fc1a19-54e5-4a9f-b066-46fc7f7df370	75.535	95.601
01005f44-f22b-4c83-a0da-b32d7344d0d9	78.485	99.344
0105909d-4885-417f-a384-b5e0ad0517ed	72.713	98.347
010694b3-95da-4ef8-afd6-056180500bfc	76.891	97.898
01089291-062e-4f08-ad89-a120ec359793	92.102	99.750
010b0dbe-0e98-447a-b877-03cf6a5a2b85	71.712	100
