Category	Name	Value
ReadStats	PassReads	23614.0
ReadStats	LenFail	0.0
ReadStats	QcFail	1386.0
Classification	Primers_found	20696.0
Classification	Rescue	438.0
Classification	Unusable	2699.0
Strand	+	10191.0
Strand	-	10505.0
RescueStrand	+	217.0
RescueStrand	-	221.0
UnclassHitNr	0	1860.0
UnclassHitNr	2	249.0
UnclassHitNr	3	243.0
UnclassHitNr	4	128.0
UnclassHitNr	5	129.0
UnclassHitNr	6	46.0
UnclassHitNr	7	26.0
UnclassHitNr	8	14.0
UnclassHitNr	9	1.0
UnclassHitNr	10	1.0
UnclassHitNr	11	1.0
UnclassHitNr	12	1.0
RescueHitNr	4	148.0
RescueHitNr	5	68.0
RescueHitNr	6	74.0
RescueHitNr	7	52.0
RescueHitNr	8	46.0
RescueHitNr	9	26.0
RescueHitNr	10	10.0
RescueHitNr	11	2.0
RescueHitNr	12	10.0
RescueHitNr	13	2.0
RescueSegmentNr	2	219.0
Unusable	0	8.0
Unusable	1	15.0
Unusable	2	16.0
Unusable	3	11.0
Unusable	4	10.0
Unusable	5	7.0
Unusable	6	8.0
Unusable	7	5.0
Unusable	8	1.0
Unusable	9	3.0
Unusable	10	2.0
Unusable	11	1.0
Unusable	12	1.0
Unusable	13	2.0
Unusable	14	2.0
Unusable	15	1.0
Unusable	16	6.0
Unusable	17	2.0
Unusable	18	3.0
Unusable	19	3.0
Unusable	20	4.0
Unusable	21	5.0
Unusable	22	5.0
Unusable	23	4.0
Unusable	24	5.0
Unusable	25	5.0
Unusable	26	3.0
Unusable	27	3.0
Unusable	28	2.0
Unusable	29	7.0
Unusable	30	8.0
Unusable	31	5.0
Unusable	32	6.0
Unusable	33	4.0
Unusable	34	11.0
Unusable	35	10.0
Unusable	36	17.0
Unusable	37	12.0
Unusable	38	6.0
Unusable	39	20.0
Unusable	40	14.0
Unusable	41	22.0
Unusable	42	8.0
Unusable	43	14.0
Unusable	44	8.0
Unusable	45	10.0
Unusable	46	10.0
Unusable	47	17.0
Unusable	48	27.0
Unusable	49	23.0
Unusable	50	29.0
Unusable	51	35.0
Unusable	52	55.0
Unusable	53	65.0
Unusable	54	63.0
Unusable	55	44.0
Unusable	56	38.0
Unusable	57	103.0
Unusable	58	116.0
Unusable	59	90.0
Unusable	60	60.0
Unusable	61	86.0
Unusable	62	103.0
Unusable	63	66.0
Unusable	64	38.0
Unusable	65	27.0
Unusable	66	34.0
Unusable	67	29.0
Unusable	68	94.0
Unusable	69	143.0
Unusable	70	213.0
Unusable	71	392.0
Unusable	72	924.0
Unusable	73	1821.0
Unusable	74	2014.0
Unusable	75	1559.0
Unusable	76	2074.0
Unusable	77	2352.0
Unusable	78	1236.0
Unusable	79	692.0
Unusable	80	660.0
Unusable	81	479.0
Unusable	82	958.0
Unusable	83	380.0
Unusable	84	326.0
Unusable	85	333.0
Unusable	86	396.0
Unusable	87	321.0
Unusable	88	268.0
Unusable	89	327.0
Unusable	90	415.0
Unusable	91	124.0
Unusable	92	569.0
Unusable	93	127.0
Unusable	94	16.0
Unusable	289	1.0
Unusable	292	1.0
Unusable	293	1.0
Unusable	295	1.0
Unusable	298	1.0
Unusable	300	1.0
Unusable	302	3.0
Unusable	303	1.0
Unusable	305	1.0
Unusable	306	1.0
Unusable	307	1.0
Unusable	308	1.0
Unusable	309	1.0
Unusable	310	1.0
Unusable	311	1.0
Unusable	313	1.0
Unusable	314	1.0
Unusable	316	1.0
Unusable	318	6.0
Unusable	319	2.0
Unusable	320	3.0
Unusable	321	4.0
Unusable	322	6.0
Unusable	323	8.0
Unusable	324	7.0
Unusable	325	8.0
Unusable	326	5.0
Unusable	327	8.0
Unusable	328	2.0
Unusable	329	8.0
Unusable	330	9.0
Unusable	331	11.0
Unusable	332	10.0
Unusable	333	2.0
Unusable	334	5.0
Unusable	335	11.0
Unusable	336	4.0
Unusable	337	13.0
Unusable	338	7.0
Unusable	339	7.0
Unusable	340	6.0
Unusable	341	4.0
Unusable	342	7.0
Unusable	343	1.0
Unusable	344	5.0
Unusable	345	2.0
Unusable	346	4.0
Unusable	347	2.0
Unusable	348	3.0
Unusable	350	2.0
Unusable	352	1.0
Unusable	353	2.0
Unusable	354	1.0
Unusable	356	1.0
Unusable	361	1.0
Unusable	363	1.0
Unusable	367	1.0
Unusable	376	1.0
Unusable	388	1.0
Unusable	526	1.0
Unusable	775	1.0
Unusable	956	1.0
Unusable	1044	1.0
Unusable	1112	1.0
Unusable	1445	1.0
Unusable	1594	1.0
Hits	SSP,-VNP	8540.0
Hits	VNP,-SSP	4125.0
Hits	VNP,VNP,-SSP	1401.0
Hits	VNP,VNP,VNP,-SSP	1321.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP	971.0
Hits	VNP,VNP,VNP,VNP,-SSP	798.0
Hits	VNP,-SSP,-SSP,-SSP	354.0
Hits	SSP,SSP,-VNP	337.0
Hits	SSP,-VNP,-VNP	278.0
Hits	SSP,SSP,SSP,-VNP	266.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP	256.0
Hits	SSP,-VNP,-VNP,-VNP	234.0
Hits	VNP,-SSP,-SSP	172.0
Hits	VNP,VNP	146.0
Hits	VNP,VNP,VNP	131.0
Hits	VNP,VNP,VNP,-SSP,-SSP,-SSP	125.0
Hits	VNP,VNP,-SSP,-SSP,-SSP	111.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP	103.0
Hits	SSP,SSP,SSP,SSP,-VNP	103.0
Hits	VNP,VNP,VNP,VNP,VNP	103.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	99.0
Hits	VNP,VNP,VNP,VNP	85.0
Hits	SSP,-VNP,-VNP,-VNP,-VNP	83.0
Hits	VNP,-SSP,-SSP,-SSP,-SSP	75.0
Hits	SSP,SSP,SSP,SSP,SSP,-VNP	68.0
Hits	VNP,VNP,VNP,-SSP,-SSP	67.0
Hits	VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP	66.0
Hits	VNP,VNP,-SSP,-SSP	64.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP,-SSP	49.0
Hits	VNP,VNP,VNP,VNP,-SSP,-SSP	45.0
Hits	SSP,-VNP,VNP,-SSP	41.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,SSP,-VNP	39.0
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP	37.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	35.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,-VNP	35.0
Hits	-SSP,-SSP,-SSP	35.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP	30.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP	29.0
Hits	VNP,-SSP,SSP,-VNP	29.0
Hits	SSP,SSP	28.0
Hits	SSP,SSP,SSP	26.0
Hits	VNP,VNP,-SSP,-SSP,-SSP,-SSP	25.0
Hits	SSP,-SSP,-VNP	23.0
Hits	VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP	23.0
Hits	VNP,-SSP,-SSP,-SSP,-SSP,-SSP	20.0
Hits	SSP,SSP,-VNP,-VNP	18.0
Hits	-SSP,-SSP	18.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP	17.0
Hits	-VNP,-VNP	16.0
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP	15.0
Hits	-SSP,VNP	15.0
Hits	SSP,-VNP,VNP,VNP,-SSP	14.0
Hits	VNP,-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	14.0
Hits	VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP	13.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP	12.0
Hits	SSP,-VNP,VNP,VNP,VNP,-SSP	12.0
Hits	VNP,VNP,VNP,VNP,-SSP,SSP,-VNP	12.0
Hits	SSP,SSP,SSP,-VNP,-VNP	11.0
Hits	-VNP,-VNP,-VNP	11.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP	11.0
Hits	SSP,-VNP,VNP,VNP,VNP,VNP,VNP,-SSP	11.0
Hits	SSP,-VNP,SSP	10.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP	10.0
Hits	VNP,SSP,SSP,-SSP	10.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,-VNP	9.0
Hits	VNP,VNP,-SSP,SSP,-VNP	9.0
Hits	VNP,VNP,VNP,-SSP,SSP,-VNP	9.0
Hits	SSP,SSP,-VNP,-VNP,-VNP	9.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	9.0
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP	9.0
Hits	-VNP,SSP	8.0
Hits	-SSP,SSP,-VNP	8.0
Hits	VNP,-VNP	8.0
Hits	SSP,SSP,SSP,SSP	8.0
Hits	SSP,SSP,SSP,-VNP,-VNP,-VNP	7.0
Hits	SSP,SSP,SSP,SSP,-VNP,-VNP	7.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP	7.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP	6.0
Hits	SSP,-VNP,VNP,VNP,VNP,VNP,-SSP	6.0
Hits	-VNP,-VNP,-VNP,-VNP	6.0
Hits	SSP,SSP,-SSP	6.0
Hits	SSP,VNP,-SSP	6.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP,SSP,-VNP	6.0
Hits	-SSP,-SSP,-SSP,-SSP	5.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	5.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP	5.0
Hits	VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP	5.0
Hits	VNP,VNP,VNP,-VNP	5.0
Hits	VNP,VNP,VNP,VNP,SSP,SSP,-SSP	5.0
Hits	-VNP,SSP,-VNP	5.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,-VNP	5.0
Hits	SSP,-SSP	5.0
Hits	SSP,SSP,SSP,SSP,SSP,-VNP,-VNP	5.0
Hits	SSP,-VNP,-SSP	5.0
Hits	VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	5.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,SSP	4.0
Hits	VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP	4.0
Hits	VNP,SSP,SSP,SSP,-SSP	4.0
Hits	VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP	4.0
Hits	SSP,SSP,SSP,SSP,SSP	4.0
Hits	-SSP,VNP,VNP	4.0
Hits	SSP,SSP,SSP,SSP,-VNP,-VNP,-VNP	4.0
Hits	SSP,-VNP,VNP,-SSP,-SSP,-SSP	4.0
Hits	-SSP,VNP,-SSP	4.0
Hits	VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	3.0
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP	3.0
Hits	SSP,-VNP,VNP,VNP,VNP	3.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,-VNP	3.0
Hits	-SSP,-SSP,-SSP,-SSP,-SSP	3.0
Hits	VNP,VNP,-SSP,SSP,SSP,-VNP	3.0
Hits	VNP,VNP,SSP,SSP,-SSP	3.0
Hits	VNP,VNP,VNP,VNP,VNP,-VNP	3.0
Hits	-SSP,VNP,VNP,VNP,VNP	3.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-VNP	3.0
Hits	VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP	3.0
Hits	SSP,-VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	3.0
Hits	VNP,VNP,VNP,SSP,SSP,-SSP	3.0
Hits	-SSP,VNP,VNP,-SSP	3.0
Hits	SSP,-VNP,VNP	2.0
Hits	-VNP,-VNP,-VNP,-VNP,-VNP,-VNP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	2.0
Hits	SSP,SSP,SSP,-SSP	2.0
Hits	VNP,-SSP,VNP,VNP	2.0
Hits	VNP,VNP,VNP,SSP,-VNP	2.0
Hits	SSP,SSP,-VNP,-VNP,-VNP,-VNP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP,SSP,-VNP	2.0
Hits	VNP,VNP,VNP,VNP,-VNP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP,-SSP	2.0
Hits	SSP,-VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP,-SSP,-SSP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,SSP,-VNP	2.0
Hits	-SSP,VNP,VNP,VNP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP,SSP,-VNP	2.0
Hits	SSP,-VNP,SSP,-VNP	2.0
Hits	SSP,SSP,SSP,SSP,SSP,SSP,SSP,-VNP,-VNP,-VNP	2.0
Hits	VNP,VNP,VNP,-SSP,SSP,-VNP,-VNP	2.0
Hits	SSP,SSP,-VNP,VNP,VNP,-SSP	2.0
Hits	VNP,-SSP,VNP,-SSP	2.0
Hits	VNP,VNP,VNP,-SSP,SSP	2.0
Hits	-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	2.0
Hits	SSP,-SSP,-SSP,-VNP	2.0
Hits	VNP,SSP,-SSP	2.0
Hits	SSP,SSP,SSP,SSP,-VNP,-VNP,-VNP,-VNP	2.0
Hits	SSP,-VNP,VNP,VNP,-SSP,-SSP,-SSP	2.0
Hits	SSP,VNP	2.0
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	2.0
Hits	VNP,VNP,VNP,SSP,SSP,SSP,SSP,-SSP	2.0
Hits	SSP,-VNP,-VNP,-VNP,VNP	2.0
Hits	VNP,-SSP,SSP,SSP,SSP,-VNP	2.0
Hits	SSP,SSP,VNP,-SSP	2.0
Hits	SSP,SSP,-VNP,VNP,-SSP	2.0
Hits	SSP,-VNP,VNP,VNP,VNP,VNP	2.0
Hits	-SSP,VNP,VNP,VNP,VNP,VNP	2.0
Hits	SSP,VNP,VNP,VNP,-VNP	1.0
Hits	VNP,VNP,VNP,VNP,VNP,SSP,SSP,SSP,SSP,-SSP	1.0
Hits	VNP,VNP,-SSP,VNP,VNP,-SSP	1.0
