Category	Name	Value
Classification	Classified	21984.0
Classification	Rescue	848.0
Classification	Unclassified	2596.0
Strand	+	10814.0
Strand	-	11170.0
RescueStrand	+	396.0
RescueStrand	-	452.0
UnclassHitNr	0	1763.0
UnclassHitNr	2	218.0
UnclassHitNr	3	584.0
UnclassHitNr	4	31.0
RescueHitNr	4	772.0
RescueHitNr	5	50.0
RescueHitNr	6	16.0
RescueHitNr	7	6.0
RescueHitNr	8	4.0
RescueSegmentNr	2	413.0
RescueSegmentNr	3	6.0
RescueSegmentNr	4	1.0
Unusable	0	27.0
Unusable	1	21.0
Unusable	2	32.0
Unusable	3	25.0
Unusable	4	31.0
Unusable	5	23.0
Unusable	6	13.0
Unusable	7	16.0
Unusable	8	12.0
Unusable	9	37.0
Unusable	10	22.0
Unusable	11	18.0
Unusable	12	20.0
Unusable	13	7.0
Unusable	14	15.0
Unusable	15	57.0
Unusable	16	390.0
Unusable	17	799.0
Unusable	18	192.0
Unusable	19	37.0
Unusable	20	23.0
Unusable	21	19.0
Unusable	22	47.0
Unusable	23	54.0
Unusable	24	24.0
Unusable	25	11.0
Unusable	26	11.0
Unusable	27	13.0
Unusable	28	8.0
Unusable	29	26.0
Unusable	30	62.0
Unusable	31	34.0
Unusable	32	17.0
Unusable	33	16.0
Unusable	34	37.0
Unusable	35	35.0
Unusable	36	12.0
Unusable	37	13.0
Unusable	38	11.0
Unusable	39	18.0
Unusable	40	20.0
Unusable	41	34.0
Unusable	42	19.0
Unusable	43	16.0
Unusable	44	11.0
Unusable	45	15.0
Unusable	46	13.0
Unusable	47	17.0
Unusable	48	21.0
Unusable	49	51.0
Unusable	50	52.0
Unusable	51	42.0
Unusable	52	70.0
Unusable	53	63.0
Unusable	54	70.0
Unusable	55	63.0
Unusable	56	93.0
Unusable	57	134.0
Unusable	58	115.0
Unusable	59	105.0
Unusable	60	85.0
Unusable	61	79.0
Unusable	62	87.0
Unusable	63	51.0
Unusable	64	52.0
Unusable	65	37.0
Unusable	66	35.0
Unusable	67	53.0
Unusable	68	111.0
Unusable	69	147.0
Unusable	70	198.0
Unusable	71	390.0
Unusable	72	759.0
Unusable	73	1495.0
Unusable	74	1684.0
Unusable	75	1674.0
Unusable	76	1876.0
Unusable	77	1974.0
Unusable	78	1308.0
Unusable	79	775.0
Unusable	80	683.0
Unusable	81	541.0
Unusable	82	827.0
Unusable	83	488.0
Unusable	84	343.0
Unusable	85	339.0
Unusable	86	372.0
Unusable	87	338.0
Unusable	88	251.0
Unusable	89	353.0
Unusable	90	396.0
Unusable	91	145.0
Unusable	92	568.0
Unusable	93	140.0
Unusable	94	20.0
Unusable	95	1.0
Unusable	219	1.0
Unusable	283	1.0
Unusable	286	1.0
Unusable	288	2.0
Unusable	289	2.0
Unusable	290	2.0
Unusable	292	1.0
Unusable	293	3.0
Unusable	295	1.0
Unusable	297	3.0
Unusable	299	2.0
Unusable	301	1.0
Unusable	303	3.0
Unusable	304	2.0
Unusable	305	2.0
Unusable	306	2.0
Unusable	307	1.0
Unusable	308	4.0
Unusable	309	2.0
Unusable	310	3.0
Unusable	311	2.0
Unusable	312	2.0
Unusable	313	4.0
Unusable	314	11.0
Unusable	315	3.0
Unusable	316	9.0
Unusable	317	4.0
Unusable	318	8.0
Unusable	319	3.0
Unusable	320	17.0
Unusable	321	9.0
Unusable	322	13.0
Unusable	323	10.0
Unusable	324	8.0
Unusable	325	11.0
Unusable	326	11.0
Unusable	327	10.0
Unusable	328	16.0
Unusable	329	9.0
Unusable	330	16.0
Unusable	331	11.0
Unusable	332	10.0
Unusable	333	10.0
Unusable	334	11.0
Unusable	335	8.0
Unusable	336	10.0
Unusable	337	9.0
Unusable	338	13.0
Unusable	339	7.0
Unusable	340	9.0
Unusable	341	4.0
Unusable	342	8.0
Unusable	343	5.0
Unusable	344	4.0
Unusable	345	7.0
Unusable	346	5.0
Unusable	347	5.0
Unusable	348	2.0
Unusable	349	2.0
Unusable	350	2.0
Unusable	351	5.0
Unusable	352	3.0
Unusable	353	2.0
Unusable	354	3.0
Unusable	357	1.0
Unusable	358	1.0
Unusable	360	1.0
Unusable	363	2.0
Unusable	364	1.0
Unusable	368	2.0
Unusable	375	1.0
Unusable	376	1.0
Unusable	378	1.0
Unusable	387	1.0
Unusable	390	1.0
Unusable	393	1.0
Unusable	397	1.0
Unusable	416	1.0
Unusable	426	1.0
Unusable	438	1.0
Unusable	467	1.0
Unusable	479	1.0
Unusable	481	1.0
Unusable	489	1.0
Unusable	499	1.0
Unusable	501	1.0
Unusable	525	1.0
Unusable	638	1.0
Unusable	659	1.0
Unusable	671	1.0
Unusable	675	1.0
Unusable	692	1.0
Unusable	695	1.0
Unusable	702	1.0
Unusable	710	1.0
Unusable	713	1.0
Unusable	715	1.0
Unusable	753	1.0
Unusable	766	1.0
Unusable	774	1.0
Unusable	777	1.0
Unusable	778	1.0
Unusable	787	1.0
Unusable	798	1.0
Unusable	869	1.0
Unusable	1007	1.0
Unusable	1083	1.0
Unusable	1112	1.0
Unusable	1117	1.0
Unusable	1267	1.0
Unusable	1284	1.0
Unusable	1289	1.0
AutotuneSample	1e-05	2031.0
AutotuneSample	0.1724234482758621	8710.0
AutotuneSample	0.34483689655172417	8916.0
AutotuneSample	0.5172503448275861	8986.0
AutotuneSample	0.6896637931034483	9019.0
AutotuneSample	0.8620772413793104	9025.0
AutotuneSample	1.0344906896551724	9034.0
AutotuneSample	1.2069041379310346	8980.0
AutotuneSample	1.3793175862068967	8958.0
AutotuneSample	1.5517310344827588	8901.0
AutotuneSample	1.724144482758621	8838.0
AutotuneSample	1.896557931034483	8814.0
AutotuneSample	2.068971379310345	8778.0
AutotuneSample	2.241384827586207	8537.0
AutotuneSample	2.413798275862069	8460.0
AutotuneSample	2.5862117241379314	8423.0
AutotuneSample	2.7586251724137933	8425.0
AutotuneSample	2.9310386206896553	8349.0
AutotuneSample	3.1034520689655176	8321.0
AutotuneSample	3.2758655172413795	8282.0
AutotuneSample	3.448278965517242	8234.0
AutotuneSample	3.620692413793104	8186.0
AutotuneSample	3.7931058620689657	8161.0
AutotuneSample	3.965519310344828	8143.0
AutotuneSample	4.137932758620689	8102.0
AutotuneSample	4.3103462068965515	8040.0
AutotuneSample	4.482759655172414	8008.0
AutotuneSample	4.655173103448276	7896.0
AutotuneSample	4.827586551724138	7812.0
AutotuneSample	5.0	7784.0
Parameter	Cutoff(q)	1.0344906896551724
