Read	RefCov
8bd1d163-48ce-426b-aad8-2b1b95e34bb4	99.872
47607768-153a-4cf3-acaa-e97b476795be	99.872
51e10a0b-3d54-4771-8e40-bda7b02a4f48	30.237
e04fe7f4-04a7-4ff6-80f3-1beac4cdb47e	100
f522c3ad-e07f-425c-951b-5b5fdbb23877	99.808
395a8688-5615-48e7-b7e7-35348616c899	100
c2fe63aa-06ae-4da2-88b3-91aee4ba315d	99.359
447d552f-aa48-48ab-b0de-cdfaa570d555	100
6d653f75-d539-41b0-84ee-4e50f588be6d	99.936
4e207cb3-e94d-48b6-bcb0-07ff3165122d	100
b55182e7-b252-47e3-99c8-8275313c400c	100
5937e6ae-cff9-4a5a-bb68-c1a78790618f	100
e786a552-ddc6-4536-94ab-0fc00030a433	99.936
54db9a42-61d9-43ed-9248-fc5bfd521e39	100
97fefbac-cf0e-4166-8d8c-4c29fb244f53	99.936
5f231e67-e918-4e26-8081-9fb3be39ccc8	99.552
e903754e-0fcf-490d-9090-64edb8e22534	98.975
573aeefa-68eb-4a3a-9023-7d4dc0c18549	94.683
a86c4dad-c993-4add-b94b-57fcd932ff88	80.461
80906177-2189-4562-8238-d0e9bf10aa60	100
b64aa9bf-86bc-432d-b1ad-3d5103925b13	100
0da7ee56-a647-4a24-8925-f0d7cd3fd326	99.897
c5c52fc2-a719-4bdd-b76d-f0a27ecc3a3d	99.794
150959eb-04fd-45e4-a3ff-35d9c1da99bc	99.897
f7ebee84-821b-4d9f-bf7d-b216d6ceec34	99.897
05e98733-3b72-452f-927c-63ad921becb0	100
8c5a7622-0e9f-4dd3-9256-dfb95107d22e	100
97418939-6b13-4209-a888-794cb9e171f4	100
677e1657-43ef-4eed-a3c3-5d60982ec075	99.692
2ff5013a-0e0d-424e-ae4f-acc0f1500e8a	100
580d37dd-4d47-4e10-8177-bb43d25b7e04	99.794
a565809f-68d0-44a7-96c4-a96f9438ae47	98.047
94cdbe37-ed3e-4929-91c3-b006db335904	99.794
2e38e585-8167-407b-a4b3-ac77ae8fafa0	97.122
4e85648a-5d0d-4d6f-99df-02fd81655a25	99.692
570bd793-f6e9-4b09-9ab2-606dd2de3919	99.897
73c4bd7c-b769-490c-b978-92eede287faf	99.589
590cdd48-602f-4d45-b61c-b82ddc7b86da	98.972
6aaa5313-7a96-49f4-b04a-fa88b1c9303a	98.972
21b6ace1-ad73-48d9-b702-fb57a25ddcc9	97.842
03bad890-2b5e-46fe-bf5c-a4a8b5ec8c66	98.767
d5419264-ed61-4664-a54d-3c1cad135498	97.328
b980b8de-afd1-41b9-9f8b-84b2413ccc75	97.533
df50b2b0-a672-4621-8061-460275dbba91	94.553
45cba9c5-eea6-4237-8fd4-5610d693c711	81.809
