Read	ReadCov
730:2012|4ab7f734-e705-4247-889d-1435685ac32a	99.688
949:2203|b294b596-cd79-4699-9cff-e2330403857a	99.920
1357:2634|1460e9fe-4ec4-483d-ada1-016d4a65ca5e	99.765
114:1408|7d596fa2-e51f-4814-b2b0-3a2d6407edb8	99.614
814:2102|9ec54127-e881-4b0e-a990-3cf37ff8b09e	98.913
107:775|b294b596-cd79-4699-9cff-e2330403857a	99.701
940:1615|2bb82997-0f46-4a7a-ac8a-3e2b801e9fbd	99.111
115:781|2bb82997-0f46-4a7a-ac8a-3e2b801e9fbd	99.850
473:1144|0e55112b-d4cb-4e1b-aa6b-be95022cafaa	99.404
112:785|2e141737-085a-4d07-8cb9-59af9a6ebe1d	98.811
110:794|b0c7d2b1-c2f9-4a9a-8303-59347a59b28c	98.538
95:767|52e68564-3b6e-4e7e-b70b-291123a1ba27	96.280
730:1204|d0b796cc-3bd8-4c5f-befd-ecb6bbda4792	99.578
724:1197|8cf81594-e4dd-4732-a672-21ff194c6d7e	99.366
771:1226|3362740b-7402-4e75-be99-5415a0c905a8	99.560
110:568|be4b3f84-7a23-46b6-b763-a966193417e7	97.598
535:996|4293ea7e-041a-4824-9510-20c2835b430c	98.482
108:569|16eabee5-6eb5-4dad-a28c-d4717e9c2691	99.132
1055:1516|3625efe0-afac-4cd2-8e04-f8504c37e705	99.783
109:577|261156dc-93af-47ae-8a51-2b390b287439	97.222
105:562|47707c45-d9aa-4b2e-942b-621d0084adae	99.344
3396:3846|e697d745-9a8d-40fe-82ea-44b0b2b50d8e	99.333
788:1245|8b4b4518-0078-4275-933d-46ef56e7d788	100
104:559|996c580a-5ade-4270-8871-af3c767afbf5	99.341
760:1229|3cd9f7af-328f-493e-896b-3bdd33757e3c	99.360
112:555|73f6d9dd-7c25-44e8-b9ce-4487ed659f87	99.323
105:558|cff2f9e5-1a3c-45ae-935d-839a6e91527c	99.779
1225:1689|385a423c-26e4-4f90-b367-1111882d4813	99.353
104:553|3a00cbd4-51ab-487e-826b-358a6828fe4b	99.109
662:1116|a0e09aa0-5935-4e1e-8941-075d5b294e6c	99.559
930:1381|c9699707-3b8d-4ff1-81a0-a9c9aec57a42	97.118
753:1209|707b47ad-8d10-4ad4-bb3c-bd9d18755712	100
120:575|8c107991-d623-4a6d-babc-25c07df80dc5	98.901
104:567|4ab7f734-e705-4247-889d-1435685ac32a	99.784
