Read	ReadCov
100:987|80906177-2189-4562-8238-d0e9bf10aa60	99.775
730:2011|4ab7f734-e705-4247-889d-1435685ac32a	99.766
726:2013|b849dc43-756d-426b-a4f2-cac51958da07	99.223
104:1344|1cf812c7-3736-4933-b84a-868755ff3ba2	96.532
1358:2636|1460e9fe-4ec4-483d-ada1-016d4a65ca5e	99.609
117:1410|7d596fa2-e51f-4814-b2b0-3a2d6407edb8	99.613
105:1385|ad1bf634-d0fc-4666-a902-db3be8a4c633	99.531
950:2205|b294b596-cd79-4699-9cff-e2330403857a	99.442
104:1394|941cde30-57d6-45ce-9349-c52756b87518	99.535
815:2104|9ec54127-e881-4b0e-a990-3cf37ff8b09e	98.836
118:793|ca85b168-be34-46d9-a6dc-38f6ac95f6f1	99.407
103:777|b294b596-cd79-4699-9cff-e2330403857a	98.813
940:1613|2bb82997-0f46-4a7a-ac8a-3e2b801e9fbd	99.406
104:784|2bb82997-0f46-4a7a-ac8a-3e2b801e9fbd	97.794
471:1146|0e55112b-d4cb-4e1b-aa6b-be95022cafaa	98.815
1492:2158|1cf812c7-3736-4933-b84a-868755ff3ba2	99.550
105:778|3065a0d1-35a7-4166-a4a6-5203ceb7dc2f	97.920
113:780|2e141737-085a-4d07-8cb9-59af9a6ebe1d	99.550
116:794|b0c7d2b1-c2f9-4a9a-8303-59347a59b28c	99.410
102:758|80225506-3f56-4fb3-8f69-ad632449e197	99.238
96:761|52e68564-3b6e-4e7e-b70b-291123a1ba27	97.293
1055:1518|3625efe0-afac-4cd2-8e04-f8504c37e705	99.568
3398:3848|e697d745-9a8d-40fe-82ea-44b0b2b50d8e	99.556
725:1200|8cf81594-e4dd-4732-a672-21ff194c6d7e	98.947
685:1149|cb66c714-3910-4254-96ad-d9d53956fcd4	99.569
788:1252|8b4b4518-0078-4275-933d-46ef56e7d788	98.707
744:1223|2154cb5e-2225-4bf0-a963-754efe56dbbc	99.582
931:1387|c9699707-3b8d-4ff1-81a0-a9c9aec57a42	96.491
753:1208|c270c2f1-d070-48f8-9779-b900a33ed37a	98.681
123:591|c270c2f1-d070-48f8-9779-b900a33ed37a	98.718
756:1231|3cd9f7af-328f-493e-896b-3bdd33757e3c	98.316
113:568|3b5f254c-e509-45df-8785-23b358e939c0	99.560
917:1377|ca85b168-be34-46d9-a6dc-38f6ac95f6f1	97.826
805:1275|49b8f76a-6e15-4223-8f00-332cfadadbd3	98.723
762:1217|64ed2897-4253-44a8-b934-2915404b1bf2	99.121
754:1211|707b47ad-8d10-4ad4-bb3c-bd9d18755712	100
106:560|cff2f9e5-1a3c-45ae-935d-839a6e91527c	99.780
1229:1691|385a423c-26e4-4f90-b367-1111882d4813	99.784
535:999|4293ea7e-041a-4824-9510-20c2835b430c	97.845
1030:1487|c7b9da4d-5f90-43e1-a47f-cf1b1f4dbc34	99.125
657:1118|a0e09aa0-5935-4e1e-8941-075d5b294e6c	98.265
754:1222|420301db-3572-4e7e-bf15-27a5e442a424	99.786
113:586|02ba7107-01e5-40d3-8e12-ffc875fae5a0	99.366
731:1207|d0b796cc-3bd8-4c5f-befd-ecb6bbda4792	98.950
104:569|4ab7f734-e705-4247-889d-1435685ac32a	99.785
772:1227|3362740b-7402-4e75-be99-5415a0c905a8	99.341
111:570|be4b3f84-7a23-46b6-b763-a966193417e7	97.168
107:576|ed6eab62-9e61-4c1f-b866-eecec5cff585	98.934
762:1226|dee81af2-5d23-499c-b8e6-d378c46a8d2e	99.138
1790:2257|0e7e1bb8-c745-4190-83dd-3454cd9fd059	99.143
109:569|16eabee5-6eb5-4dad-a28c-d4717e9c2691	99.130
110:571|261156dc-93af-47ae-8a51-2b390b287439	98.482
106:564|47707c45-d9aa-4b2e-942b-621d0084adae	98.908
105:561|996c580a-5ade-4270-8871-af3c767afbf5	98.904
766:1215|1e0e882c-a32e-4044-bf1c-38d6211d3f5c	97.773
852:1308|b4d81251-6512-49d3-ba28-12ec0957f5cc	96.491
115:581|91074104-1874-4a83-877d-6bd3de5d4af8	99.142
105:557|3a00cbd4-51ab-487e-826b-358a6828fe4b	98.230
115:580|60df628e-d013-4153-b4f5-9820f691c768	98.495
796:1206|c41e92b2-6d6a-4543-9a4b-f182e806723d	98.293
113:559|73f6d9dd-7c25-44e8-b9ce-4487ed659f87	97.758
702:1160|aff998a9-e626-463f-b692-e9bcd5f07eb0	98.253
108:564|91d66c16-6cea-4b89-bba9-863de50c5a0b	97.368
749:1231|4371ef6b-ca3d-43b3-9776-e33b3077587d	95.643
805:2058|c29a64ef-39a2-4240-a309-0618f2111fc4	99.920
113:2196|393d77c9-5ad7-415f-90a6-30a817c9ad59	99.856
109:2074|3ea26d65-b713-4926-a322-02d7eff3f32e	99.746
109:2077|22a27ad4-b709-4b64-bf1b-23ddd9ab1544	99.289
112:849|fd3b3ef1-a919-447f-8fb5-666e89a419f0	99.322
116:814|c67f9de5-30fe-4989-a88d-8ba16f3d91e4	99.140
848:1535|a9a125ac-a3c5-4c05-9640-839e3b3c6ed1	98.836
842:1523|fb1b021d-6631-4653-bb82-b81896dce1ee	99.413
1785:2473|a11e8a47-fe7d-4383-86cb-45e5e924d996	99.564
815:1498|8dd7b111-ccfe-4f61-8f1f-5383c3710ad2	99.707
107:801|a2159e4c-e2dc-4a28-a5ff-298a2161497b	97.695
110:579|7157cfb6-a96e-42fe-a95a-b46d66e9dcc0	99.574
101:578|2154cb5e-2225-4bf0-a963-754efe56dbbc	99.161
837:1320|67a4b4f0-8da0-4e5d-a245-701a853119c4	99.172
108:593|5a67d284-0485-4af7-a026-8916fb70c12f	98.969
108:579|097d6a32-fdaf-455b-b632-d0d04a273dd9	99.151
104:584|ae9dde25-e400-453b-a385-c3045fdf5299	99.167
98:576|94571bf1-79a2-4a6c-af8d-d0b9ab001f02	98.954
109:593|dee81af2-5d23-499c-b8e6-d378c46a8d2e	96.488
735:1141|7157cfb6-a96e-42fe-a95a-b46d66e9dcc0	95.567
705:1171|6e4dd235-cb51-473a-ad64-4f75048205ac	89.056
107:1364|61e88e3b-c492-4839-bea7-521abf949e45	90.374
103:1905|397a3604-21b0-47ee-b5e7-68fa6b98e999	99.834
794:2613|75ea94ee-92e3-46c2-a350-45955a5beb85	99.780
810:1581|5fd3da3b-f1a9-40b7-8d1e-32e190336fb2	99.611
111:885|27d1f7fe-7dcd-457d-a1b2-8a58bb0a5e39	98.191
700:1152|ecd4cb62-e431-4278-be45-e26bf0da7a77	98.009
823:1266|2a436ac1-fbe0-48ad-adf2-9a51b3ce538b	97.065
837:1277|dafd5b85-4cf8-45f6-897d-fee3119e393e	98.864
2293:2733|72e1385e-7892-4552-9138-41d158e3663f	98.409
105:490|15604074-d78e-49dd-b993-6d7b94f8e232	97.662
105:532|9494d8ae-9f38-477d-a2be-bbcc7de0b000	97.658
116:699|a98e5cc2-0b97-49e5-bfb8-29d762badc02	98.971
109:714|87c9dd3c-df12-4982-abdb-ea90df09890a	99.504
102:699|e671b79c-7cc4-4068-af81-a7ee9633403a	99.497
806:1396|41b07194-164b-4cac-969f-df2dccc8aca0	99.153
107:704|ed5884b8-0eff-43d7-bc99-3cde68611c59	98.827
772:1362|2558568a-206c-4ae3-8402-2afc872b0856	99.492
100:693|3d1c7df0-6106-4897-8bb1-7e8aaae6a71e	98.820
661:1245|f616f1bf-2081-42df-b9f9-54f58cf87bfe	99.486
765:1357|4519d91f-f57c-4e11-9631-5df5b82ee50b	99.324
111:711|0360d57d-dfcf-4d7f-8538-da6d5ad7eef9	99.333
109:705|3e0377e6-0a1a-40a8-b4f2-e60a04960277	98.826
105:687|b3db89b9-b57a-45ac-9db9-65f94aa5f7d0	99.656
108:686|b4d81251-6512-49d3-ba28-12ec0957f5cc	99.481
113:711|cc027150-5673-4a59-94de-ba67e3931925	98.662
855:1453|cc254280-f6f9-4e6f-98d3-2dc34dd2af1a	99.331
108:702|e2f2cbcd-ccd4-4a4c-9128-3ef4a49a3aea	99.327
103:703|fab67d33-ad17-481e-81fd-fe9d341a316a	99.667
114:702|ea2906d2-26a4-4d2a-99ba-97c717ba4e9d	98.639
946:1551|b0c7d2b1-c2f9-4a9a-8303-59347a59b28c	96.364
1058:1363|840fd7f4-3279-4f94-b3f0-2c10b0850e40	99.016
810:1591|e95c932d-a9e7-4a48-902a-8148b581f988	98.464
743:1521|148e3d82-b6b5-4a88-bdf7-c293071645c1	99.614
116:902|c99e78d6-03bd-4a15-8ab7-e79dca53cda1	99.618
112:901|e8d241d7-f590-4ef1-8937-9df53b19206d	99.620
857:1624|69d8ed4e-f719-4c9a-8903-ba3b1c37aa27	97.523
111:663|7cdb7821-4657-43f7-b8c1-6f0107081421	100
811:2398|39b3ec76-020c-4f8c-8c3d-0d5f66d8e98e	99.559
106:1667|bb5110ec-46aa-42c0-95dc-da2fa15240ca	99.872
115:1663|af2a1176-9cd0-442e-be59-f2a5bc716718	99.612
813:2354|e46a96aa-96c5-4c9b-bb53-5b7aa673e05b	99.870
810:1779|8f4dddc6-c5a3-4e53-8bef-dab3feb54bb9	98.555
108:1051|e697d745-9a8d-40fe-82ea-44b0b2b50d8e	99.682
755:1706|bcf0cb7e-4998-47c7-a91e-0f7793025d7d	99.790
1812:2756|aef59db5-1d54-4fce-adde-aa429fcead27	98.941
747:1687|3545b1d4-b10e-470f-88b7-265cce7329a7	99.574
108:1059|3a02cd3d-ddbe-43b4-9b1c-ecf316d1c42f	99.054
101:1033|385a423c-26e4-4f90-b367-1111882d4813	99.356
2270:3228|05802dbf-75a1-4b7b-8f7e-2134e97b648b	97.704
116:862|a3287032-b5ff-4e77-b0e1-3b1d0c4b900a	99.330
857:1476|206cce89-46b1-4693-8c6d-7aba06575a93	99.677
2075:2693|72c4b6d7-0304-4c3a-87c3-869479bf8b99	99.353
722:1343|393955f5-2c48-46e3-af4d-c66e1340b4b6	99.678
280:895|4b7927de-f7ba-4ab1-96de-1d2c87b560f6	98.862
501:1118|471a5082-34e4-49e3-9224-636ca5b2f54a	98.703
116:740|81ee6798-ad05-40d1-87eb-82e92cfcaf03	99.679
108:716|290a2f9c-08cd-4525-8188-2af66badafa3	99.013
774:1391|148e01a1-afc3-4dfc-8c6b-870f70c8ffa6	99.352
105:723|0c6103ae-7af2-4ef6-a638-e3df27108b33	99.191
745:1242|6e4dbdec-8020-4c89-bc38-bbe8ddd4e206	100
1361:2022|372a2811-cc46-4493-9aa1-5d2883543b91	99.244
114:790|cc4f6980-3c9f-41ee-b262-773489cef0f8	95.858
723:1399|996c580a-5ade-4270-8871-af3c767afbf5	98.964
1010:1677|9c22cf57-6d0a-4956-bc0b-f32c9e768444	99.400
106:771|18f7d1ab-ad14-4478-9cd9-67b5822417a8	99.398
641:1310|6ed59afa-0bd1-432a-bc4c-d02c517fec0b	98.954
1339:1996|2c018e8c-e4f9-481c-b36d-4f9624c03ebd	100
793:1449|f576f23d-588e-47c8-9c70-bc7fa89aeeea	97.713
115:794|44604453-b1a6-4991-8287-ae65eb4327d1	99.558
724:1410|86b85ee8-0eed-4157-96be-44652711667e	98.688
106:783|66a38bce-8dd1-4495-ab59-0994569d066d	99.114
2218:2889|63dff185-d6e1-4d79-b67c-1d4a7ae3f437	99.553
749:1376|0a191cb0-6677-4140-a63b-246ac28e492d	99.043
1628:2288|4eb3881a-027d-4028-aaaa-0cb7ea69cecb	99.242
1559:2230|941cde30-57d6-45ce-9349-c52756b87518	99.404
1155:1810|80906177-2189-4562-8238-d0e9bf10aa60	99.237
722:1393|8d38176b-4b69-4213-a5c5-71459e16fcd2	98.808
103:769|c9699707-3b8d-4ff1-81a0-a9c9aec57a42	99.249
106:766|cb69a978-43b4-4199-bab5-66fcfbae82af	99.091
1156:1848|b9a65072-fd10-470f-9f16-db59070dfe3f	98.266
2185:2838|e6fc1f72-5c8c-40ef-9137-d70190838753	96.018
368:922|a1a5cde4-7f58-49b7-bde6-2bcc1b1ca92b	99.458
831:1405|92683ec5-a06c-4f26-b159-87960f211ddd	99.477
795:1362|6fbbee84-9dfa-4793-b1ee-0f2d8f9447cd	99.295
738:1299|91d66c16-6cea-4b89-bba9-863de50c5a0b	99.465
824:1376|7cdb7821-4657-43f7-b8c1-6f0107081421	99.275
256:811|ed738cb9-92d8-41f0-b4be-543bf0c06a30	99.459
120:709|f2785661-d6e1-4e7d-9ea9-a2c72ef970ab	98.642
103:701|927091fd-808d-42a8-9eb1-2e17a897eb00	98.161
291:856|edf00801-e9db-49cf-916c-0d80a80c6678	98.938
97:652|3d094643-3e32-48bf-b4ea-f835feb13722	98.378
726:1282|261f83b7-ea45-492c-b223-d927e7b6ba71	97.662
910:1236|87af1ccd-ef5f-443e-9a27-a2341a2b078f	65.644
839:2869|7d057ec2-8556-4629-a45f-3da21b9c79c7	99.655
109:2125|72e1385e-7892-4552-9138-41d158e3663f	99.851
869:2896|ea2906d2-26a4-4d2a-99ba-97c717ba4e9d	99.753
106:2092|05802dbf-75a1-4b7b-8f7e-2134e97b648b	99.748
2067:4047|397a3604-21b0-47ee-b5e7-68fa6b98e999	99.444
846:2871|3c3e26a7-23b9-47e0-a880-f048781c3242	99.901
113:2127|78b410f9-6858-4db6-94a6-8f685bc73476	99.752
105:1048|b61e0d68-7fd3-4828-a189-88bea7829d8f	97.349
892:2864|81ee6798-ad05-40d1-87eb-82e92cfcaf03	99.949
108:2160|920d5ff3-6e78-477c-89dc-79bfba175358	99.854
1211:3219|e697d745-9a8d-40fe-82ea-44b0b2b50d8e	99.851
767:2765|3ab45464-7041-4c20-892a-2d00d42df76a	99.650
