Read	RefCov
103:1648|47607768-153a-4cf3-acaa-e97b476795be	99.872
112:1669|4e207cb3-e94d-48b6-bcb0-07ff3165122d	100
91:549|51e10a0b-3d54-4771-8e40-bda7b02a4f48	29.917
107:1673|e04fe7f4-04a7-4ff6-80f3-1beac4cdb47e	100
111:1618|b55182e7-b252-47e3-99c8-8275313c400c	100
110:1662|5937e6ae-cff9-4a5a-bb68-c1a78790618f	100
109:1656|e786a552-ddc6-4536-94ab-0fc00030a433	99.936
107:1656|54db9a42-61d9-43ed-9248-fc5bfd521e39	100
100:1628|97fefbac-cf0e-4166-8d8c-4c29fb244f53	99.936
107:1669|447d552f-aa48-48ab-b0de-cdfaa570d555	100
114:1643|6d653f75-d539-41b0-84ee-4e50f588be6d	99.936
103:1640|395a8688-5615-48e7-b7e7-35348616c899	99.936
108:1663|c2fe63aa-06ae-4da2-88b3-91aee4ba315d	99.295
112:1676|5f231e67-e918-4e26-8081-9fb3be39ccc8	99.552
114:1663|e903754e-0fcf-490d-9090-64edb8e22534	98.975
121:1610|573aeefa-68eb-4a3a-9023-7d4dc0c18549	94.619
115:1336|a86c4dad-c993-4add-b94b-57fcd932ff88	80.397
106:1085|150959eb-04fd-45e4-a3ff-35d9c1da99bc	99.897
110:1084|f7ebee84-821b-4d9f-bf7d-b216d6ceec34	99.897
100:1061|05e98733-3b72-452f-927c-63ad921becb0	100
109:1078|677e1657-43ef-4eed-a3c3-5d60982ec075	99.692
113:1096|2ff5013a-0e0d-424e-ae4f-acc0f1500e8a	100
110:1072|580d37dd-4d47-4e10-8177-bb43d25b7e04	99.794
104:1018|2e38e585-8167-407b-a4b3-ac77ae8fafa0	97.122
108:1071|4e85648a-5d0d-4d6f-99df-02fd81655a25	99.692
115:1104|570bd793-f6e9-4b09-9ab2-606dd2de3919	99.897
106:1102|c5c52fc2-a719-4bdd-b76d-f0a27ecc3a3d	99.794
105:1067|0da7ee56-a647-4a24-8925-f0d7cd3fd326	99.794
128:1105|73c4bd7c-b769-490c-b978-92eede287faf	99.589
112:1050|b64aa9bf-86bc-432d-b1ad-3d5103925b13	99.794
98:1049|590cdd48-602f-4d45-b61c-b82ddc7b86da	98.972
95:1045|6aaa5313-7a96-49f4-b04a-fa88b1c9303a	98.972
103:1067|03bad890-2b5e-46fe-bf5c-a4a8b5ec8c66	98.767
107:1065|d5419264-ed61-4664-a54d-3c1cad135498	97.328
106:1056|b980b8de-afd1-41b9-9f8b-84b2413ccc75	97.533
104:900|45cba9c5-eea6-4237-8fd4-5610d693c711	81.809
110:880|b6d52d45-12f7-4ebe-b38d-97fd4515bec2	77.801
114:688|6ecab40d-d44e-4a99-8b89-7d2ceeb36e4c	58.993
104:690|95b8f960-0055-429d-a3a7-98e4efc30bd4	59.609
108:678|0e53522b-bd55-4f59-86a8-0411a1403aae	58.684
122:710|88f686dc-0862-4fd3-843a-a2ff91deab43	59.507
118:688|5c65f692-c5cd-45cc-8b24-8d8759eacf65	59.507
122:704|84b458d0-312b-40d8-8377-2290097fe801	58.684
113:1458|0c0d2ba0-cfcd-4a96-874f-4ef26b0ca3e4	99.707
107:1433|11294cd5-78c5-4159-a419-7f722571442e	99.927
106:1448|d4290364-5c0c-406d-8edd-b9920297e62c	100
105:1464|df2c7576-8748-47b9-b584-74efcb452e62	100
111:1424|23e164a1-26ea-473c-9c7a-35eefda82dc5	98.899
111:1464|ce9486e2-5761-4121-9be7-cd498f3433b8	100
109:1460|3bbb50cd-2466-4965-b873-5dbf57fc6499	99.927
110:1462|43959dfa-07a0-4918-8722-5453669ce03b	99.853
115:1476|5a20af39-76bb-442d-a43b-47ebe60b9e00	99.780
108:1454|78abb262-e923-45c9-a459-a609d60fc896	99.486
109:1429|4a719bcf-9592-408c-ab0c-f3cf706f95ff	99.486
120:1457|4f4fa4c2-e95b-4d69-bfaf-a665e7e4e30e	99.046
107:1453|8db20c93-4fc2-4ad4-92ac-62bc273a5d4b	98.092
108:1495|36e5e81d-7d95-4630-b6fe-4d8cd19ca999	98.019
117:1444|b107ab7f-da0d-426b-b82f-071c027f2687	94.204
110:1340|d9b8ea4e-0f6e-4f30-a44d-2e222321d054	99.769
114:1414|f906d809-d2b5-4456-a913-e5f916145a3d	99.923
107:1406|e3ba9eae-e67b-41ff-a89c-e674cbdc8bb0	100
104:1393|c53f518e-91e4-49a2-b418-daf453bd0252	99.923
104:1466|77c9130b-be3a-46df-92ef-df13a9b05124	99.846
129:1430|cf77fd25-b30c-4254-a036-59b41623f743	100
111:1416|8f310ceb-7897-40ef-af02-9447ae1a58d0	100
112:1406|53ff3a0b-829a-4b6a-8e00-9f1d16a7eee4	99.923
112:1405|3089f4d6-0f4f-4bcf-92a3-f9ba17f01c21	100
104:1403|b916e7d2-0e5e-4e49-9284-71c46f8ce32b	99.923
107:1409|e04c5efb-2112-412b-b063-1db25ac59bab	100
112:1388|7bce48c6-e9db-481a-9503-d411202a7aee	98.846
97:1410|d8e5cce3-e838-429d-86e7-65d466856f88	100
107:1388|721f4ae3-f1b0-43c2-b538-ae3055a3eb61	99.769
104:1389|b03759c5-a3e0-4109-aa8e-6678d7db2c89	99.769
109:1408|b3f965fb-662c-4a3d-84f3-e0068fb7cdce	99.923
106:1445|75f34b7b-122a-4606-a60f-f71f2edf2137	99.846
103:1404|baa92280-44f4-4892-8de1-034d0de3e40c	100
114:1401|88c02fbc-1938-4929-993e-ed35c13374f5	99.769
104:1412|63bcee52-e112-422e-aff7-377414764b1b	99.846
97:1394|d012bc56-30dd-4995-ae3d-9b988b452fd1	99.308
114:1399|8f3b41d6-4df6-4b09-828c-19b6ae77b174	99.846
98:1401|7d7ffab9-6b86-4288-b849-16c9c4895863	99.846
115:1417|3006aa44-91e4-407e-8a9a-a49e617c0977	99.846
104:1404|c3928956-a93a-4eef-8f14-ffcf1567bcd5	100
117:1402|25a815b4-15c4-47e4-9622-5150f073c2d6	100
113:1419|36f14a71-d2f5-4dfd-99b3-35fd362f2433	99.923
108:1396|6d4c0cf5-55f4-4c5a-84b7-c0bacced2e14	100
116:1411|6df6cb54-eaf0-4bd0-9577-e2a4e3434c7d	97.923
112:1397|501f699a-d7e6-4ad7-a8b9-a79764c5a179	99.846
116:1414|69091850-214c-4b43-9246-dbcb2c3040d2	99.923
121:1392|88eb9547-c902-446a-9136-3642501ade53	100
116:1415|1f63803b-0db3-40ed-9018-a16d5b90b0eb	99.923
122:1434|8a3e0a32-4ff2-4c1a-a000-c670c841b1fa	100
96:1377|e9c25e18-596f-4ed4-b4fc-85b739595dd9	99.923
118:1393|ceccbb45-ca66-4ed7-b46a-f88976bd1d36	100
111:1410|53a010df-f333-4735-8b60-515a846bb48f	99.692
117:1417|32b6a008-0613-4c47-80f0-1586c014d7fc	100
115:1417|9332b727-df96-4bc6-ba2f-cc1e4224a7f0	99.846
108:1408|0683735f-a196-40ff-a42e-f23075dd8e23	99.077
99:1377|c467d241-6957-4679-91d6-e21d14853950	99.846
114:1378|19cf0de3-c863-4ff9-b79f-0c8f7032f692	99.846
124:1415|a9bae64b-57e5-4c9b-bee5-68bdc27d9be9	99.923
107:1399|6da36a6b-fff2-46cc-9493-4e13ea673d9e	99.769
109:1390|60f2ce9b-1118-45b0-b074-7ab8eff89d23	99.846
110:1386|30fa0d63-88d3-47fc-b2bb-51b13636c4a8	99.846
118:1415|fa1974f9-1d48-4b2e-a9fc-832687877f19	100
105:1394|cf2e9c0b-4e24-4428-a13b-a4b5b43f6cc7	99.923
103:1398|2fce96bc-d8ae-4aeb-ab21-458b73f69a1e	100
104:1394|8e9db535-bd68-495d-8d83-c9e8f87ca7ba	99.923
104:1381|67b7dcef-65d2-4ba6-babe-856ef95a5f71	99.846
113:1415|5fe256a9-2df3-461f-9fac-c1a8b6111d84	99.846
113:1445|9bc2c2d8-abaf-49a9-ae67-c85a408b25eb	99.077
109:1400|83899586-db4b-4a9f-9748-df71e8ed43ad	100
93:1353|06102821-7bcb-4097-bbdb-54c7477d1aa2	99.846
108:1379|c7d30bef-cb53-42da-8da8-7b639a96250c	99.846
118:1390|592eb206-e15d-4cf9-a961-16f3aea32a89	99.923
107:1393|a4980034-bae2-4203-85d4-3847defbb745	99.846
103:1376|6e2566ca-4dae-4b45-8e31-c63f4b677a40	100
119:1415|e03f8e46-9d86-4301-b146-5962e948d1ce	99.692
117:1396|c602ca8c-ee3d-46db-8f58-47dad6dfe003	99.846
105:1411|e36813c8-51ea-44da-904f-088a260b8353	99.923
115:1399|2c09abd8-b1a9-4389-9824-117ea210e11e	99.846
112:1393|7327aba1-33b7-4c81-820c-1924f0524388	99.077
110:1444|1a425f1b-7c23-4ca3-b799-fbf7fb7a79ab	100
110:1390|2d5a9d17-5346-44ec-b26a-5fabd0f72479	99.846
105:1377|6c85ec37-e5ce-4d41-928e-a85a0437a1b3	99.692
110:1407|fe81a87e-829e-41b6-886d-351351ba11c4	100
119:1418|1c8e41a1-7982-4e07-8d05-c881716b5161	100
106:1371|2e7f7dee-af60-4ce2-9e69-dd6aeda51d05	99.846
104:1363|01c25253-5231-4d91-b26a-6fa3d1f408ac	99.154
96:1409|ec60e5ca-cb66-42cc-8a7f-5f413ac721bb	99.923
109:1385|66b3a21c-4d77-440d-b792-0038334345f6	100
101:1375|f700e77c-ed52-440e-81b5-dbc93fedd12e	99.846
104:1371|4a9d1ef6-44bc-492d-873f-e8e8332e70ba	99.846
112:1410|88f61a05-db6d-4d47-b3e1-e5aa7f6741ce	100
108:1395|671e6cf6-e001-4ca4-b98f-d22b4eed9208	99.846
102:1390|cc9f4849-09c5-4f7f-8aa0-268f3379e2b6	99.769
115:1406|95dd86f6-7b7f-45b1-a3fd-3eb311ce4ab7	99.923
103:1367|0a5dde8c-6ddc-4592-b6fd-2ca9f0c6ae26	99.846
112:1397|3d0e8779-70c3-4f64-b66e-1e7dfd9515ff	99.846
122:1449|dd0be579-af22-446c-9024-5fe59581c32d	100
111:1413|6dc3bb08-8181-4571-b544-b93e5c016790	99.308
109:1365|4f66bd2c-d47a-4d0a-ac73-69e02e62d7e8	100
112:1381|b2ddb479-2ab3-43c9-a4a8-c91c61b8652c	99.846
110:1386|ae5faa4a-325b-4162-8b74-6b4f654652b9	99.538
130:1428|413e6401-de90-4be4-8b94-7dc0ea421fb2	100
109:1411|a9e0a084-ae77-44ad-931d-18f3b277482d	99.846
114:1394|88352877-9c78-4a77-bdf8-a0d2c38777e5	99.692
110:1392|70ab36b6-03f5-46c0-8ff3-54b0d4163420	100
99:1359|249061d6-9d71-40b5-926c-2f0d57069af0	99.846
107:1381|397354fd-5ec1-43d6-b157-9d46296614b6	100
112:1400|f4535eb3-af15-4a3a-82d4-dfe0ed5c6211	99.923
101:1377|8acfbf9e-8065-4237-80ba-8dfdd88f1f74	100
105:1384|03d75c59-4c7f-4033-bbe0-e8ef8f6a80ae	99.923
110:1399|4a59b18b-6ed9-4e68-8c8e-0fc464c2c761	99.923
109:1387|6323afb5-c992-4e03-812a-335d48da5c08	99.923
107:1390|ae164899-67fc-4c75-9650-67745ea5acf2	99.846
116:1407|416487f1-b750-4309-b0f0-45c82cd9bba6	100
109:1337|ed9323e8-34fa-41dd-8d89-2092a2ef4b49	100
115:1416|bcdc6c0f-a395-45ea-85cd-4e3ffd9df8b0	100
102:1391|b39e470f-2616-487e-b5e0-0552af78ac80	99.846
106:1378|a50f5b06-1e12-49b5-9868-500cfcb5237e	99.846
109:1408|13d8fd87-02bf-49f0-9ee1-eca792e93038	100
103:1364|f89ac79d-7225-460e-8c3a-739488f532f4	100
104:1380|f1b0df5c-ae82-4c5e-98f1-d2e5c80808de	100
115:1400|9d834090-3c14-4eb6-b209-00948bcfeaf1	100
99:1387|c538f63c-cc58-461a-8b6c-1db5a68b8be6	99.615
105:1412|efac7d48-dc9c-4472-a9e0-96682d9856e1	98.923
106:1399|7eb205dd-0b20-4338-9fcb-6ec471e6ce51	99.846
106:1397|d61d7c6f-2064-4179-aea3-f4f39a29c01f	100
107:1395|53e1ffb1-73dc-408e-9ef3-1ebfba30ce2f	100
